City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
438,Pochutla,MX,78.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
440,Itarema,BR,87.73,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
441,Saint-Francois,FR,83.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
442,Agropoli,IT,79.29,light rain,40.3469,14.9966,B&B Baia di Trentova
443,Najran,SA,88.83,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
446,Caravelas,BR,81.18,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
447,Taksimo,RU,74.05,overcast clouds,56.3444,114.8794,"Gostinitsa ""Viktoriya"""
448,Mabaruma,GY,79.43,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
449,Maasin,PH,82.49,broken clouds,10.1336,124.8447,michaelsresortanddive
450,Alexandria,EG,83.86,clear sky,31.2156,29.9553,Royal Crown Hotel
451,Filadelfia,US,80.29,scattered clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
455,Haimen,CN,80.24,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
457,Bodden Town,KY,88.0,broken clouds,19.2833,-81.25,Will T Place
458,Bandarbeyla,SO,80.8,overcast clouds,9.4942,50.8122,JABIR HOTEL
459,Vila Velha,BR,84.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
462,Sibolga,ID,76.75,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
467,Ilhabela,BR,72.32,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
469,Belle Fourche,US,82.11,clear sky,44.6714,-103.8522,Kings Inn
471,Cockburn Town,TC,81.61,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
475,San Policarpo,PH,79.5,overcast clouds,12.1791,125.5072,JM Lodge
476,Ojinaga,MX,84.42,clear sky,29.5667,-104.4167,Suites Las Palmas
477,Baoqing,CN,73.18,broken clouds,46.3317,132.2111,Baoqing Hotel
480,Penzance,GB,81.61,clear sky,50.1186,-5.5371,Artist Residence Penzance
482,Bakhmach,UA,89.33,few clouds,51.1808,32.7569,Мини Отель
483,Omboue,GA,78.39,clear sky,-1.5746,9.2618,Hotel Olako
484,Malinovoye Ozero,RU,73.06,scattered clouds,51.6753,79.7825,Solonyy Bereg
487,Pagatin,PH,76.15,overcast clouds,6.9731,124.4753,Ledsbong Butilen Datu Salibo Maguindanao
492,Jining,CN,75.81,broken clouds,35.405,116.5814,Yunhe Star Hotel
494,Kamina,CD,84.54,clear sky,-8.7386,24.9906,Guest House Florvia
495,Namatanai,PG,78.51,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
496,Chaihe,CN,73.38,overcast clouds,44.7667,129.7,Fengyuan Hotel
497,Debno,PL,83.53,clear sky,52.739,14.698,Domek na plaży
500,Port Blair,IN,80.94,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
503,Russellville,US,74.84,broken clouds,35.2784,-93.1338,Hampton Inn Russellville
505,Atlantic Beach,US,88.23,clear sky,30.3344,-81.3987,One Ocean Resort & Spa
507,Krasnyy Kut,RU,89.74,scattered clouds,50.95,46.9667,Yubileynaya
508,Rock Sound,BS,82.26,few clouds,24.9,-76.2,Rock Sound Club
509,Waingapu,ID,74.26,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
511,Jalingo,NG,79.09,overcast clouds,8.8833,11.3667,Debright Motel
514,Otradnoye,RU,82.45,clear sky,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
517,Tautira,PF,71.62,moderate rain,-17.7333,-149.15,Pension Oaoa
518,Lata,PT,86.49,clear sky,40.1629,-8.3327,Casa Maquia
519,Houma,US,86.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
521,Kuah,MY,84.99,overcast clouds,6.3265,99.8432,Azio Hotel
523,Tual,ID,80.08,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
524,Dafeng,CN,81.72,overcast clouds,23.4517,108.5881,Shenglong Hotel
525,Ponta Delgada,PT,72.32,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
526,Mityana,UG,77.2,overcast clouds,0.4175,32.0228,Green Valley Hotel
530,Carauari,BR,84.78,clear sky,-4.8828,-66.8958,Hotel Fellip
532,Sampit,ID,74.59,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
534,Ninh Binh,VN,80.85,overcast clouds,20.2539,105.975,Kinh Do Hotel
535,Vilhena,BR,81.27,clear sky,-12.7406,-60.1458,Hotel Mirage
536,Bryan,US,83.66,clear sky,30.6744,-96.37,Best Western Premier Bryan College Station
539,Rio Sereno,PA,75.85,overcast clouds,8.8167,-82.8667,Agua Luna Ecolodge
540,Salvador,SV,78.04,overcast clouds,13.8333,-88.9167,Chico's Ranch
543,Dangriga,BZ,85.96,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
544,Jinchang,CN,85.06,broken clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
