City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Guerrero Negro,MX,27.9769,-114.0611,68.65,86,0,8.88,clear sky
211,Povenets,RU,62.8487,34.8262,78.13,37,2,13.29,clear sky
212,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,78,20,6.91,few clouds
213,Usakos,NA,-22.0,15.6,79.12,21,5,5.5,clear sky
214,Shieli,KZ,44.1667,66.75,96.26,13,0,10.76,clear sky
215,Brae,GB,60.3964,-1.353,55.31,74,58,8.9,broken clouds
216,Jabinyanah,TN,35.035,10.9081,89.92,37,40,10.38,scattered clouds
217,Bria,CF,6.5423,21.9863,77.04,90,86,5.28,moderate rain
218,Saskylakh,RU,71.9167,114.0833,63.39,52,100,9.01,overcast clouds
219,Eqbaliyeh,IR,35.3022,51.5358,102.02,12,1,9.64,clear sky
220,Iskateley,RU,67.6803,53.1512,71.22,40,23,6.4,few clouds
221,Bassila,BJ,9.0081,1.6654,82.45,69,100,5.95,light rain
222,Boueni,YT,-12.9025,45.0761,78.78,71,8,14.61,clear sky
223,Mareeba,AU,-17.0,145.4333,65.12,73,98,2.48,overcast clouds
224,Durban,ZA,-29.8579,31.0292,68.92,66,0,3.0,clear sky
225,Pocri,PA,8.2667,-80.55,78.62,81,99,2.42,overcast clouds
226,Beisfjord,NO,68.3751,17.5988,57.25,91,100,5.53,overcast clouds
227,Santander,ES,43.4647,-3.8044,78.71,87,20,5.99,few clouds
228,Labuhan,ID,-6.8844,112.2051,78.98,77,9,6.8,clear sky
229,Acarau,BR,-2.8856,-40.12,87.53,56,13,11.86,few clouds
230,Olafsvik,IS,64.8945,-23.7142,51.35,82,69,11.97,broken clouds
231,Beringovskiy,RU,63.05,179.3167,49.5,89,13,9.4,few clouds
232,Ballina,AU,-28.8667,153.5667,52.79,69,86,4.76,overcast clouds
233,Venado Tuerto,AR,-33.7456,-61.9688,47.89,54,0,15.7,clear sky
234,Poplar Bluff,US,36.757,-90.3929,77.63,92,90,0.0,overcast clouds
235,Kinsale,IE,51.7075,-8.5306,76.37,69,20,8.05,few clouds
236,Esperance,AU,-33.8667,121.9,55.09,80,19,11.52,few clouds
237,Trairi,BR,-3.2778,-39.2689,87.82,54,95,13.09,overcast clouds
238,Kaura Namoda,NG,12.5898,6.5779,90.32,47,98,10.74,overcast clouds
239,Port Augusta,AU,-32.5,137.7667,41.14,55,100,5.5,overcast clouds
240,Lavrentiya,RU,65.5833,-171.0,43.86,98,99,8.46,overcast clouds
241,Carutapera,BR,-1.195,-46.02,85.5,64,10,5.84,clear sky
242,Ahuimanu,US,21.4447,-157.8378,78.51,75,75,6.91,broken clouds
243,Ancud,CL,-41.8697,-73.8203,38.73,81,100,4.41,overcast clouds
244,Kodiak,US,57.79,-152.4072,57.24,80,93,3.56,overcast clouds
245,Vincennes,FR,48.85,2.4333,85.32,47,0,12.66,clear sky
246,Jiuquan,CN,39.7432,98.5174,88.03,16,0,5.35,clear sky
247,Camalu,MX,30.85,-116.0667,69.69,86,11,3.58,few clouds
248,Treinta Y Tres,UY,-33.2333,-54.3833,46.47,73,100,28.43,overcast clouds
249,San Patricio,US,28.017,-97.5169,87.66,76,3,5.1,clear sky
250,Skibbereen,IE,51.55,-9.2667,76.8,63,91,7.27,overcast clouds
251,Rio Gallegos,AR,-51.6226,-69.2181,41.05,65,0,3.44,clear sky
252,Whitianga,NZ,-36.8333,175.7,54.01,87,84,15.97,broken clouds
253,Puerto Del Rosario,ES,28.5004,-13.8627,94.68,54,0,10.36,clear sky
254,Faanui,PF,-16.4833,-151.75,79.18,71,99,22.44,light rain
255,Samarai,PG,-10.6167,150.6667,79.43,82,100,15.95,overcast clouds
256,Lindi,TZ,-10.0,39.7167,77.4,62,93,10.65,overcast clouds
257,Basar,IN,27.9833,94.6667,73.92,99,100,0.51,overcast clouds
258,Kirakira,SB,-10.4544,161.9205,78.73,84,100,10.49,overcast clouds
259,Maragogi,BR,-9.0122,-35.2225,80.13,74,33,10.11,scattered clouds
260,Aykhal,RU,66.0,111.5,60.8,79,100,18.43,overcast clouds
261,Dongsheng,CN,39.8161,109.9776,80.04,35,0,6.42,clear sky
262,Portland,US,45.5234,-122.6762,60.42,82,1,1.01,clear sky
263,Shingu,JP,33.7333,135.9833,79.92,94,65,3.11,broken clouds
264,Gari,RU,59.4307,62.3497,68.45,71,80,4.54,light rain
265,Abapo,BO,-18.8333,-63.4667,57.76,36,100,7.34,overcast clouds
266,Abrau-Dyurso,RU,44.69,37.59,85.48,62,0,5.84,clear sky
267,Gravelbourg,CA,49.8834,-106.5512,74.17,43,0,9.95,clear sky
268,Biak,ID,-0.9131,122.8766,76.19,86,100,3.91,overcast clouds
269,Jiangyou,CN,31.7667,104.7167,78.73,86,99,2.15,light rain
270,Damietta,EG,31.4165,31.8133,85.12,56,0,13.8,clear sky
271,Bam,IR,29.106,58.357,94.42,33,67,7.07,broken clouds
272,Tessalit,ML,20.1986,1.0114,108.54,10,25,3.74,scattered clouds
273,Talnakh,RU,69.4865,88.3972,55.72,76,100,6.4,overcast clouds
274,Le Port,RE,-20.9373,55.2919,71.6,74,30,5.95,light rain
275,Deputatskiy,RU,69.3,139.9,39.06,73,5,1.66,clear sky
276,Mansa,IN,29.9833,75.3833,90.72,64,100,17.83,light rain
277,Tayu,ID,-6.5397,111.0518,80.01,79,22,6.96,few clouds
278,Patacamaya,BO,-17.2333,-67.9167,43.59,65,29,7.78,scattered clouds
279,Leningradskiy,RU,69.3833,178.4167,36.57,94,100,10.4,moderate rain
280,Peniche,PT,39.3558,-9.3811,78.28,76,72,14.85,broken clouds
281,Dengzhou,CN,37.8086,120.7508,75.33,85,0,6.85,clear sky
282,Mount Gambier,AU,-37.8333,140.7667,46.22,98,100,5.06,overcast clouds
283,Boa Esperanca,BR,-21.09,-45.5658,77.56,37,22,5.55,few clouds
284,Sohag,EG,26.557,31.6948,107.51,9,7,9.84,clear sky
285,Lodja,CD,-3.4833,23.4333,96.13,18,66,4.09,broken clouds
286,Bethel,US,41.3712,-73.414,77.47,92,95,5.3,overcast clouds
287,Loviisa,FI,60.4566,26.2251,78.46,48,2,16.55,clear sky
288,Pangody,RU,65.85,74.4859,63.97,41,22,3.89,few clouds
289,Midland,US,31.9974,-102.0779,80.47,76,40,6.91,scattered clouds
290,Batemans Bay,AU,-35.7167,150.1833,47.91,76,48,4.41,scattered clouds
291,Zonguldak,TR,41.25,31.8333,83.25,39,19,4.74,few clouds
292,Tornio,FI,65.8481,24.1466,60.82,73,40,12.62,scattered clouds
293,Kungurtug,RU,50.5994,97.5228,61.65,58,100,1.7,overcast clouds
294,Uyuni,BO,-20.4597,-66.825,43.52,15,0,3.51,clear sky
295,Sitka,US,57.0531,-135.33,57.09,88,75,0.0,light rain
296,Alice Springs,AU,-23.7,133.8833,45.95,66,51,0.0,broken clouds
297,Camacha,PT,33.0833,-16.3333,77.76,64,40,14.97,scattered clouds
298,Gisborne,NZ,-38.6533,178.0042,49.95,79,24,8.81,few clouds
299,Sitniki,RU,56.4553,44.0666,87.78,31,17,7.31,few clouds
300,Opuwo,NA,-18.0607,13.84,79.63,23,0,11.14,clear sky
301,Okhotsk,RU,59.3833,143.3,62.08,80,17,6.11,few clouds
302,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,87,90,14.97,overcast clouds
303,Iqaluit,CA,63.7506,-68.5145,43.7,67,99,8.01,overcast clouds
304,Mathathane,BW,-22.2687,28.7495,70.25,21,4,11.77,clear sky
305,Zhaoqing,CN,23.0512,112.4597,79.07,90,100,1.77,overcast clouds
306,Nizhneudinsk,RU,54.9076,99.0276,59.92,81,86,1.12,light rain
307,Williams Lake,CA,52.1415,-122.1445,58.01,67,85,1.43,overcast clouds
308,Christchurch,NZ,-43.5333,172.6333,47.91,93,75,1.99,broken clouds
309,Narasannapeta,IN,18.4167,84.05,83.66,77,39,12.39,scattered clouds
310,Sistranda,NO,63.7256,8.834,53.91,77,100,24.58,overcast clouds
311,Varhaug,NO,58.6147,5.6457,61.79,71,22,24.56,few clouds
312,Talaja,IN,21.35,72.05,86.31,71,99,12.62,overcast clouds
313,Canyon,US,34.9803,-101.9188,72.66,80,94,4.85,overcast clouds
314,Gamba,GA,-2.65,10.0,76.41,68,11,10.69,few clouds
315,Kharitonovo,RU,61.4009,47.4978,79.03,34,27,5.03,scattered clouds
316,Neiafu,TO,-18.65,-173.9833,77.68,83,20,8.05,few clouds
317,Longyearbyen,SJ,78.2186,15.6401,40.84,100,90,6.91,light rain
318,Mahebourg,MU,-20.4081,57.7,73.26,71,67,17.05,broken clouds
319,Sioux Lookout,CA,50.1001,-91.917,78.78,38,36,3.58,scattered clouds
320,Kut Chap,TH,17.4257,102.5669,85.64,91,100,5.57,moderate rain
321,Mucurapo,TT,10.6667,-61.5333,87.03,76,10,9.08,clear sky
322,Iralaya,HN,15.0,-83.2333,78.89,82,100,13.02,overcast clouds
323,The Valley,AI,18.217,-63.0578,86.14,74,40,18.41,scattered clouds
324,Norman Wells,CA,65.282,-126.8329,61.84,50,56,5.08,broken clouds
325,Pisco,PE,-13.7,-76.2167,62.65,82,90,4.61,overcast clouds
326,Zhigalovo,RU,54.8097,105.1578,57.94,95,98,2.55,overcast clouds
327,Mitsamiouli,KM,-11.3847,43.2844,77.23,70,14,12.57,light rain
328,Blagodatnoye,RU,45.3997,42.5867,97.72,18,0,10.02,clear sky
329,Havre-Saint-Pierre,CA,50.2334,-63.5986,64.18,67,0,11.7,clear sky
330,Susehri,TR,40.1644,38.0867,92.32,26,36,1.1,light rain
331,Gombe,NG,10.2897,11.1673,81.46,58,100,8.28,overcast clouds
332,Kailua,US,21.4022,-157.7394,78.78,75,75,6.91,broken clouds
333,Nishihara,JP,26.1842,127.7558,83.48,79,20,12.66,few clouds
334,Demba,CD,-5.51,22.2667,95.09,16,54,4.21,broken clouds
335,Saint-Georges,GD,12.0564,-61.7485,82.71,76,0,14.34,clear sky
336,Cabo San Lucas,MX,22.8909,-109.9124,83.52,80,94,5.01,overcast clouds
337,Evensk,RU,61.95,159.2333,55.96,84,100,8.39,overcast clouds
338,Santa Engracia,ES,41.9406,-1.3245,93.13,25,0,22.7,clear sky
339,Soligalich,RU,59.0778,42.2864,80.62,34,0,2.06,clear sky
340,Goderich,CA,43.7501,-81.7165,74.03,82,48,10.78,scattered clouds
341,Mazsalaca,LV,57.8633,25.0547,84.25,47,0,11.12,clear sky
342,Zapolyarnyy,RU,69.4154,30.8136,56.48,93,100,9.69,light rain
343,Mapiri,BO,-15.25,-68.1667,67.86,98,100,1.14,overcast clouds
344,Nurmijarvi,FI,60.4641,24.8073,80.51,42,20,19.57,few clouds
345,Port Lincoln,AU,-34.7333,135.8667,52.77,82,99,11.88,overcast clouds
346,Vostok,RU,46.4856,135.8833,66.81,81,0,3.67,clear sky
347,Praia,CV,14.9215,-23.5087,84.74,58,0,14.97,clear sky
